I00A0943,15-02-27,14:51:41
I00ABPAS,15-02-27,14:51:41
I00ACOC1,15-02-27,14:51:41
I00ADLTE,15-02-27,14:51:41
I00APX01,15-02-27,14:51:41
I00APX02,15-02-27,14:51:41
I00APX03,15-02-27,14:51:41
I00APX04,15-02-27,14:51:41
I00AUNLD,15-02-27,14:51:41
I00D0201,17-06-30,10:50:42
I00D0217,15-02-27,14:51:41
I00D0222,15-02-27,14:51:41
I00D0228,16-12-19,11:54:20
I00D0230,15-02-27,14:51:41
I00D0248,16-12-19,11:54:20
I00D0249,15-02-27,14:51:41
I00D0256,16-12-19,11:54:20
I00D0259,15-02-27,14:51:41
I00D0260,15-02-27,14:51:41
I00D0261,15-02-27,14:51:41
I00D0276,16-12-19,11:54:20
I00D0335,16-12-19,11:54:20
I00D0336,16-12-19,11:54:20
I00D0611,15-02-27,14:51:41
I00D0620,15-02-27,14:51:41
I00D0630,15-02-27,14:51:41
I00D0650,15-02-27,14:51:41
I00D0855,15-02-27,14:51:41
I00D0942,15-02-27,14:51:41
I00D1450,16-12-19,11:54:20
I00D2556,17-05-17,10:23:49
I00D2568,15-02-27,14:51:41
I00D3630,16-12-19,11:54:20
I00D8096,15-02-27,14:51:41
I00DM003,17-07-01,00:01:10
I00DM045,16-12-19,12:44:56
I00DM062,16-12-19,13:35:24
I00DM087,16-11-23,17:41:57
I00DM110,16-12-19,11:54:20
I00DM180,16-12-19,11:54:20
I00DM182,17-06-27,11:16:28
I00DM183,16-12-19,11:54:20
I00DM184,16-12-19,11:54:20
I00DM186,16-12-19,11:54:20
I00DM190,15-02-27,14:51:41
I00DM201,15-02-27,14:51:41
I00DM206,16-12-19,11:54:20
I00DM208,16-12-19,11:54:20
I00DM209,16-12-19,11:54:20
I00DM210,16-12-19,11:54:20
I00DM213,15-02-27,14:51:41
I00DM214,17-06-28,12:34:39
I00DM266,16-12-19,11:54:20
I00DM283,16-12-19,11:54:21
I00DM300,16-12-19,11:54:20
I00DM301,16-12-19,11:54:20
I00DM313,17-06-28,12:34:18
I00DM420,16-12-19,11:54:21
I00DM422,16-12-19,11:54:21
I00DM423,16-12-19,11:54:21
I00DM425,16-12-19,11:54:21
I00DM427,17-03-13,13:47:59
I00DM430,16-12-19,11:54:21
I00DM431,16-12-19,11:54:21
I00DM432,17-05-19,12:13:39
I00E0204,15-02-27,14:51:41
I00E0206,15-02-27,14:51:41
I00E0207,15-02-27,14:51:41
I00E0221,15-02-27,14:51:41
I00E0231,15-02-27,14:51:41
I00E0233,15-02-27,14:51:41
I00E0260,15-02-27,14:51:41
I00E0262,15-02-27,14:51:41
I00E0263,15-02-27,14:51:41
I00E0266,15-02-27,14:51:41
I00E0269,15-02-27,14:51:41
I00E0270,15-02-27,14:51:41
I00E0273,15-02-27,14:51:41
I00E0274,15-02-27,14:51:41
I00E0275,15-02-27,14:51:41
I00E0388,15-02-27,14:51:41
I00E0452,15-02-27,14:51:41
I00E0513,15-02-27,14:51:41
I00E0600,15-02-27,14:51:41
I00E0620,15-02-27,14:51:41
I00E0650,15-02-27,14:51:41
I00E0680,15-02-27,14:51:41
I00E0690,15-02-27,14:51:41
I00E0692,15-02-27,14:51:41
I00E0856,15-02-27,14:51:41
I00E0857,15-02-27,14:51:41
I00E0933,15-02-27,14:51:41
I00E0943,15-02-27,14:51:41
I00E0944,15-02-27,14:51:41
I00E1470,15-02-27,14:51:41
